f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,Filename
0.0727,0.0464,0.1068,0.0911,0.1109,0.0676,0.086,0.2262,0.0391,0,0,0.0727,0.0842,0.0357,processed.pcap.TCP_111-93-5-203_22_116-10-191-186_4912.pcap
0.0273,0.0222,0.0339,0.0319,0.0302,0.0292,0.0241,0.0348,0.0185,0,0,0.0273,0.024,0,processed.pcap.TCP_111-93-5-203_22_192-217-120-19_43035.pcap
0.0284,0.0222,0.0365,0.0326,0.0302,0.0302,0.0241,0.0348,0.0185,0,0,0.0284,0.024,0,processed.pcap.TCP_111-93-5-203_22_125-210-216-30_57750.pcap
0.1057,0.0806,0.138,0.1172,0.1511,0.0815,0.102,0.2772,0.0439,0,0,0.1057,0.1042,0,processed.pcap.TCP_61-174-51-200_2040_111-93-5-203_22.pcap
0.0989,0.0726,0.1328,0.1091,0.1106,0.0951,0.0774,0.1489,0.0498,0,0,0.0989,0.1022,0,processed.pcap.TCP_61-174-49-126_20593_111-93-5-203_22.pcap
0.025,0.0202,0.0313,0.0402,0.0553,0.0258,0.0433,0.118,0.0185,0,0,0.025,0.022,0,processed.pcap.TCP_60-173-10-142_2287_111-93-5-203_22.pcap
0.0284,0.0222,0.0365,0.0328,0.0306,0.0302,0.0243,0.0358,0.0185,0,0,0.0284,0.024,0,processed.pcap.TCP_95-0-212-205_47218_111-93-5-203_22.pcap
0.025,0.0202,0.0313,0.0402,0.0553,0.0258,0.0433,0.118,0.0185,0,0,0.025,0.022,0,processed.pcap.TCP_60-173-10-142_2754_111-93-5-203_22.pcap
0.0432,0.0363,0.0521,0.0565,0.0773,0.0365,0.0548,0.1505,0.0232,0,0,0.0432,0.0441,0,processed.pcap.TCP_61-174-50-224_6675_111-93-5-203_22.pcap
0.025,0.0202,0.0313,0.0403,0.0554,0.0259,0.0433,0.118,0.0185,0,0,0.025,0.022,0,processed.pcap.TCP_60-173-26-179_21162_111-93-5-203_22.pcap
0.0273,0.0222,0.0339,0.0321,0.0306,0.0292,0.0243,0.0358,0.0185,0,0,0.0273,0.024,0,processed.pcap.TCP_111-93-5-203_22_211-140-18-58_34046.pcap
0.0227,0.0181,0.0286,0.028,0.025,0.0265,0.0222,0.0292,0.0179,0,0,0.0216,0.02,0.0714,processed.pcap.TCP_1-93-33-2_41855_111-93-5-203_22.pcap
0.0239,0.0202,0.0286,0.0345,0.0393,0.0272,0.0309,0.0647,0.0185,0,0,0.0239,0.02,0,processed.pcap.TCP_111-93-5-203_22_185-53-168-9_39877.pcap
0.0273,0.0222,0.0339,0.0291,0.0274,0.0267,0.0244,0.0364,0.0185,0,0,0.0273,0.024,0,processed.pcap.TCP_111-93-5-203_22_221-179-193-241_12086.pcap
0.0273,0.0222,0.0339,0.0319,0.0302,0.0292,0.0241,0.0348,0.0185,0,0,0.0273,0.024,0,processed.pcap.TCP_111-93-5-203_22_219-92-5-182_49126.pcap
0.0273,0.0222,0.0339,0.0321,0.0306,0.0292,0.0243,0.0358,0.0185,0,0,0.0273,0.024,0,processed.pcap.TCP_111-93-5-203_22_122-228-122-150_43103.pcap
0.117,0.1008,0.138,0.1245,0.1686,0.0815,0.1049,0.2898,0.0439,0,0,0.117,0.1042,0,processed.pcap.TCP_111-93-5-203_22_116-10-191-209_27942.pcap
0.1182,0.1028,0.138,0.124,0.1673,0.0815,0.1032,0.2827,0.0439,0,0,0.1182,0.1042,0,processed.pcap.TCP_111-93-5-203_22_116-10-191-209_37023.pcap
0.0989,0.0645,0.1432,0.1141,0.1396,0.0841,0.1023,0.274,0.0451,0,0,0.0989,0.1082,0,processed.pcap.TCP_61-174-50-216_9794_111-93-5-203_22.pcap
0.1136,0.0948,0.138,0.122,0.1627,0.0815,0.1036,0.2843,0.0439,0,0,0.1136,0.1062,0,processed.pcap.TCP_61-174-51-200_1683_111-93-5-203_22.pcap
0.0295,0.0242,0.0365,0.0461,0.0634,0.0296,0.0489,0.1335,0.0209,0,0,0.0295,0.0301,0.0357,processed.pcap.TCP_61-174-51-211_35717_111-93-5-203_22.pcap
0.0318,0.0262,0.0391,0.0374,0.0362,0.0337,0.0284,0.0428,0.0214,0,0,0.0318,0.0321,0,processed.pcap.TCP_111-93-5-203_22_112-78-11-159_48381.pcap
0.1,0.0685,0.1406,0.1141,0.1425,0.0823,0.1014,0.2748,0.0439,0,0,0.1,0.1062,0,processed.pcap.TCP_61-174-51-219_51497_111-93-5-203_22.pcap
0.0227,0.0181,0.0286,0.028,0.025,0.0265,0.0222,0.0292,0.0179,0,0,0.0216,0.02,0.0714,processed.pcap.TCP_1-93-33-2_41815_111-93-5-203_22.pcap
0.0239,0.0202,0.0286,0.0345,0.0393,0.0272,0.0309,0.0647,0.0185,0,0,0.0239,0.02,0,processed.pcap.TCP_111-93-5-203_22_185-53-168-9_46049.pcap
0.025,0.0202,0.0313,0.0402,0.0553,0.0258,0.0433,0.118,0.0185,0,0,0.025,0.022,0,processed.pcap.TCP_60-173-10-142_4238_111-93-5-203_22.pcap
0.0386,0.0302,0.0495,0.0538,0.073,0.0351,0.054,0.1493,0.0226,0,0,0.0386,0.0441,0,processed.pcap.TCP_61-174-51-198_3861_111-93-5-203_22.pcap
0.0886,0.0565,0.1302,0.1072,0.1312,0.079,0.0992,0.265,0.0439,0,0,0.0875,0.1022,0.0357,processed.pcap.TCP_111-93-5-203_22_116-10-191-210_37281.pcap
0.0273,0.0222,0.0339,0.0319,0.0302,0.0292,0.0241,0.0348,0.0185,0,0,0.0273,0.024,0,processed.pcap.TCP_111-93-5-203_22_185-13-225-147_53449.pcap
0.0273,0.0222,0.0339,0.0321,0.0306,0.0292,0.0243,0.0358,0.0185,0,0,0.0273,0.024,0,processed.pcap.TCP_111-93-5-203_22_219-92-5-182_58473.pcap
